pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
HD 70642 b,HD 70642,2003,Radial Velocity,2124.54,29.276,,,125.3661079,-39.7044432
Kepler-20 d,Kepler-20,2011,Transit,77.61184,282.563,2.75,369.0,287.6979913,42.3385782
Kepler-976 b,Kepler-976,2016,Transit,105.9564148,1012.41,3.81,322.0,289.8696232,46.7296855
Kepler-188 c,Kepler-188,2014,Transit,5.9965371126,968.544,,,281.2797173,44.3154743
K2-151 b,K2-151,2018,Transit,3.835376,69.4798,1.5,,19.3047733,9.5012663
Kepler-61 b,Kepler-61,2013,Transit,59.87756,335.079,2.15,273.0,295.3044942,42.4753193
Kepler-818 b,Kepler-818,2016,Transit,10.0354072958,925.037,,,296.2351072,39.3702865
WASP-15 b,WASP-15,2009,Transit,3.7520997,282.091,,,208.9280111,-32.1597118
Kepler-890 b,Kepler-890,2016,Transit,,1712.12,10.703,,288.435718,43.7634712
WASP-58 b,WASP-58,2012,Transit,5.01718,290.404,15.35633,,274.7012534,45.1722194
Kepler-902 b,Kepler-902,2016,Transit,40.10999,1165.34,3.0,527.0,289.7317067,46.953875
Kepler-1295 b,Kepler-1295,2016,Transit,3.81371423,1174.46,1.37,1029.0,291.3978451,45.588553
K2-369 b,K2-369,2022,Transit,5.7619248,185.55,1.37,,329.7262534,-10.8750666
Kepler-647 c,Kepler-647,2020,Transit,29.66629667,1087.87,2.7,630.0,284.7882977,44.5916225
Kepler-1552 b,Kepler-1552,2016,Transit,184.771853,769.096,2.17,251.0,291.6768669,38.8749152
Kepler-1998 b,Kepler-1998,2023,Transit,3.03263998,340.965,0.69419998,,283.4291536,47.5923973
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,2022,Microlensing,,5700.0,,,268.355875,-31.7247194
Kepler-1907 c,Kepler-1907,2021,Transit,14.86386959,292.111,7.44,,280.7085829,47.3279236
Kepler-480 b,Kepler-480,2016,Transit,4.919583795,847.508,2.43,1264.0,294.4639165,49.7650473
WASP-130 b,WASP-130,2016,Transit,11.5509796,172.256,,,203.1060194,-42.4752733
Kepler-1608 b,Kepler-1608,2016,Transit,16.4737572858,,,,295.563555,39.41757
